t=2026-04-03T10:33:54+0900 lvl=info msg="no configuration paths supplied"
t=2026-04-03T10:33:54+0900 lvl=info msg="using configuration at default config path" path="/Users/kimjunbeom/Library/Application Support/ngrok/ngrok.yml"
t=2026-04-03T10:33:54+0900 lvl=info msg="open config file" path="/Users/kimjunbeom/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-04-03T10:33:54+0900 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-03T10:33:54+0900 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-03T10:33:54+0900 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-03T10:33:54+0900 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5173 url=https://0cf6-175-214-81-72.ngrok-free.app
t=2026-04-03T10:33:55+0900 lvl=info msg="update available" obj=updater
t=2026-04-03T10:34:16+0900 lvl=info msg="join connections" obj=join id=e6f1869b03f9 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:56+0900 lvl=info msg="join connections" obj=join id=847a54958311 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=73703ac989b6 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=b024e27077e9 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=c1b48207aee6 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=76fb50dc28ca l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=c022e6355838 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=f531f660a1f3 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=c6e5ca1865a3 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=4affa191c55c l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=0f99399f3aed l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=53cbc883be18 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=69f4909222a2 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=75b5e9090686 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=9375a66bf867 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=876d459ed345 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=89a8c1532e50 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:57+0900 lvl=info msg="join connections" obj=join id=ff1152b6e022 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:58+0900 lvl=info msg="join connections" obj=join id=49bdb95c0f51 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:58+0900 lvl=info msg="join connections" obj=join id=fa55c36b9630 l=127.0.0.1:5173 r=175.214.81.72:62261
t=2026-04-03T10:34:58+0900 lvl=info msg="join connections" obj=join id=e6b1032cbc77 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:58+0900 lvl=info msg="join connections" obj=join id=d481f11eaf0b l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:34:58+0900 lvl=info msg="join connections" obj=join id=3e969fe3b2b6 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:02+0900 lvl=info msg="join connections" obj=join id=70b66f047ac9 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=135d0c0045d4 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=5b4dd5ef3322 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=c279e6761ae5 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=e8e2c87f10aa l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=59629607128f l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=e540a840b7ce l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=5bbdd2144b82 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:04+0900 lvl=info msg="join connections" obj=join id=fe101dc78827 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:07+0900 lvl=info msg="join connections" obj=join id=2cabdd1117b0 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:07+0900 lvl=info msg="join connections" obj=join id=556c85e47e99 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:07+0900 lvl=info msg="join connections" obj=join id=866ccb08a997 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:13+0900 lvl=info msg="join connections" obj=join id=88c676bd6318 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:28+0900 lvl=info msg="join connections" obj=join id=ff8eb32f76a6 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:43+0900 lvl=info msg="join connections" obj=join id=9b51b4ab4759 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:35:58+0900 lvl=info msg="join connections" obj=join id=2290af946228 l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:39:17+0900 lvl=info msg="join connections" obj=join id=7a6c6494b78d l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:39:17+0900 lvl=info msg="join connections" obj=join id=b894c8cba54a l=127.0.0.1:5173 r=175.214.81.72:62257
t=2026-04-03T10:39:17+0900 lvl=info msg="join connections" obj=join id=b9d8d8ebf3e9 l=127.0.0.1:5173 r=175.214.81.72:62257
